4,441,4775,1374,0,19
4,629,4775,961,0,19
4,819,4780,975,19,19
4,1007,4781,969,14,19
4,1197,4801,1013,26,19
4,1386,4839,1006,31,19
4,1574,4856,1002,44,19
4,1764,4836,1010,19,19
4,1953,4804,1017,12,19
4,2143,4804,1008,0,19
4,2331,4797,1023,20,19
4,2521,4809,1019,24,19
4,2710,4852,1036,32,19
4,2898,4866,1000,40,19
4,3088,4872,983,42,19
4,3277,4831,951,5,19
4,3466,4799,947,9,19
4,3655,4833,1019,21,19
4,3845,4825,1055,42,19
4,4033,4866,1067,39,19
4,4222,4926,1131,58,19
4,4412,4962,1083,65,19
4,4601,4922,1058,63,19
4,4790,4908,1027,47,19
4,4979,4967,1130,24,19
4,5169,4958,1135,49,19
4,5357,4937,1178,50,19
4,5547,4948,1162,62,19
4,5736,4956,1153,74,19
4,5925,5100,1183,120,19
4,6114,5058,1177,93,19
4,6303,5032,1158,71,19
4,6493,4972,1188,70,19
4,6681,4941,1156,48,19
4,6871,4921,1150,46,19
4,7060,4913,1141,59,19
4,7249,4913,1156,38,19
4,7438,4900,1103,54,19
4,7627,4899,1094,46,19
4,7817,4902,1082,35,19
4,8005,4901,1114,33,19
4,8195,4930,1147,37,19
4,8384,4912,1148,22,19
4,8573,4900,1141,50,19
4,8762,4903,1122,26,19
4,8951,4877,1094,30,19
4,9141,4862,1042,23,19
4,9329,4842,1056,19,19
4,9519,4823,1041,0,19
4,9708,4827,1067,9,19
4,9896,4850,1077,22,19
4,10086,4851,1087,21,19
4,10275,4859,1086,6,19
4,10465,4853,1049,20,19
4,10653,4849,1053,21,19
4,10843,4858,1051,29,19
4,11032,4852,1029,21,19
4,11222,4874,1114,15,19
4,11410,4894,1135,18,19
4,11599,4907,1170,24,19
4,11789,4917,1153,40,19
4,11978,4953,1160,34,19
4,12167,4912,1136,34,19
4,12356,4897,1113,30,19
4,12546,4848,1122,17,19
4,12735,4846,1124,12,19
4,12923,4834,1123,0,19
4,13113,4835,1125,7,19
4,13302,4846,1105,27,19
4,13492,4875,1105,15,19
4,13680,4855,1091,25,19
4,13870,4867,1109,10,19
4,14059,4901,1097,0,19
4,14248,4864,1126,27,19
4,14437,4873,1147,22,19
4,14626,4871,1161,14,19
4,14816,4868,1118,40,19
4,15005,4905,1119,24,19
4,15194,4870,1075,19,19
4,15383,4861,1095,31,19
4,15572,4860,1157,6,19
4,15762,4883,1149,10,19
4,15950,4855,1124,14,19
4,16140,4879,1114,6,19
4,16329,4866,1077,24,19
4,16519,4899,1117,27,19
4,16707,4874,1090,8,19
4,16897,4930,1137,0,19
4,17086,4901,1135,0,19
4,17275,4891,1145,14,19
4,17464,4924,1181,24,19
4,17653,4936,1151,20,19
4,17843,4907,1133,12,19
4,18032,4896,1148,21,19
4,18221,4894,1175,9,19
4,18410,4890,1203,15,19
4,18599,4884,1203,13,19
4,18789,4879,1178,0,19
4,18977,4883,1168,10,19
4,19167,4870,1128,21,19
4,19356,4836,1075,22,19
4,19546,4853,1080,0,19
4,19734,4884,1152,0,19
4,19923,4901,1141,0,19
4,20113,4888,1155,9,19
4,20301,4928,1197,16,19
4,20491,4915,1188,26,19
4,20680,4921,1175,47,19
4,20870,4923,1175,17,19
4,21059,4898,1171,32,19
4,21248,4915,1228,7,19
4,21437,4923,1225,24,19
4,21626,4912,1230,25,19
4,21816,4911,1220,28,19
4,22004,4896,1158,41,19
4,22194,4899,1117,29,19
4,22383,4879,1125,16,19
4,22573,4851,1160,0,19
4,22761,4881,1151,13,19
4,22950,4888,1169,18,19
4,23140,4914,1191,16,19
4,23329,4914,1133,20,19
4,23518,4923,1143,21,19
4,23707,4905,1163,8,19
4,23897,4903,1186,19,19
4,24086,4840,1201,0,19
4,24274,4769,1165,0,19
4,24464,4692,985,0,19
4,24653,4677,959,0,19
4,24842,4668,910,0,19
4,25031,4632,874,0,19
